stamp_sec,stamp_nsec,status,service,latitude,longitude
1744810082,0,1,1,25.75823974609375,-80.37367248535156
1744810083,0,1,1,25.75823974609375,-80.3736801147461
1744810084,0,1,1,25.758241653442383,-80.37368774414062
1744810085,0,1,1,25.758241653442383,-80.37369537353516
1744810086,0,1,1,25.758241653442383,-80.37370300292969
1744810087,0,1,1,25.758241653442383,-80.37371826171875
1744810088,0,1,1,25.758241653442383,-80.37372589111328
1744810089,0,1,1,25.758243560791016,-80.37373352050781
1744810091,0,1,1,25.758243560791016,-80.37374877929688
1744810092,0,1,1,25.758243560791016,-80.3737564086914
1744810094,0,1,1,25.758243560791016,-80.37376403808594
1744810095,0,1,1,25.758243560791016,-80.37377166748047
1744810095,0,1,1,25.75824546813965,-80.373779296875
1744810097,0,1,1,25.758251190185547,-80.37379455566406
1744810098,0,1,1,25.75825309753418,-80.37379455566406
1744810099,0,1,1,25.758256912231445,-80.3738021850586
1744810100,0,1,1,25.758258819580078,-80.3738021850586
1744810101,0,1,1,25.75826072692871,-80.37380981445312
1744810102,0,1,1,25.758258819580078,-80.37380981445312
1744810104,0,1,1,25.758255004882812,-80.37381744384766
1744810105,0,1,1,25.75825309753418,-80.37381744384766
1744810106,0,1,1,25.758251190185547,-80.37381744384766
1744810107,0,1,1,25.758249282836914,-80.37381744384766
1744810108,0,1,1,25.75824546813965,-80.37381744384766
1744810109,0,1,1,25.758241653442383,-80.37381744384766
1744810111,0,1,1,25.75823402404785,-80.37381744384766
1744810112,0,1,1,25.758228302001953,-80.37381744384766
1744810113,0,1,1,25.758222579956055,-80.37380981445312
1744810114,0,1,1,25.758216857910156,-80.37380981445312
1744810115,0,1,1,25.758211135864258,-80.37380981445312
1744810116,0,1,1,25.758203506469727,-80.3738021850586
1744810117,0,1,1,25.758195877075195,-80.3738021850586
1744810119,0,1,1,25.758182525634766,-80.37379455566406
1744810120,0,1,1,25.758174896240234,-80.37379455566406
1744810122,0,1,1,25.758167266845703,-80.37379455566406
1744810122,0,1,1,25.758161544799805,-80.37378692626953
1744810124,0,1,1,25.758155822753906,-80.37378692626953
1744810124,0,1,1,25.758150100708008,-80.37378692626953
1744810125,0,1,1,25.758146286010742,-80.37378692626953
1744810127,0,1,1,25.75813865661621,-80.37377166748047
1744810128,0,1,1,25.758136749267578,-80.37377166748047
1744810129,0,1,1,25.758134841918945,-80.37376403808594
1744810130,0,1,1,25.758132934570312,-80.37376403808594
1744810132,0,1,1,0.0,0.0
1744810132,0,1,1,25.75813102722168,-80.37374877929688
1744810133,0,1,1,25.758129119873047,-80.37374114990234
1744810134,0,1,1,25.758129119873047,-80.37373352050781
1744810137,0,1,1,25.758129119873047,-80.37371826171875
1744810138,0,1,1,25.758129119873047,-80.37370300292969
1744810139,0,1,1,25.758129119873047,-80.37369537353516
1744810140,0,1,1,25.758129119873047,-80.37368774414062
1744810141,0,1,1,25.758129119873047,-80.3736801147461
1744810143,0,1,1,25.758129119873047,-80.37366485595703
1744810144,0,1,1,25.758129119873047,-80.3736572265625
1744810145,0,1,1,25.758129119873047,-80.37364959716797
1744810146,0,1,1,25.758129119873047,-80.37364196777344
1744810147,0,1,1,25.758129119873047,-80.3736343383789
1744810149,0,1,1,25.758129119873047,-80.37361907958984
1744810150,0,1,1,25.758129119873047,-80.37361145019531
1744810151,0,1,1,25.758129119873047,-80.37360382080078
1744810152,0,1,1,25.758127212524414,-80.37359619140625
1744810153,0,1,1,25.758127212524414,-80.37358856201172
1744810154,0,1,1,25.758127212524414,-80.37358093261719
1744810155,0,1,1,25.75812530517578,-80.37357330322266
1744810156,0,1,1,25.75812530517578,-80.3735580444336
1744810158,0,1,1,25.75812339782715,-80.37354278564453
1744810159,0,1,1,25.758121490478516,-80.37353515625
1744810160,0,1,1,25.758121490478516,-80.37352752685547
1744810161,0,1,1,25.758121490478516,-80.37351989746094
1744810162,0,1,1,25.758119583129883,-80.3735122680664
1744810164,0,1,1,25.758119583129883,-80.37348937988281
1744810165,0,1,1,25.75811767578125,-80.37348175048828
1744810166,0,1,1,25.75811767578125,-80.37347412109375
1744810167,0,1,1,25.758115768432617,-80.37346649169922
1744810168,0,1,1,25.758115768432617,-80.37345886230469
1744810170,0,1,1,25.758115768432617,-80.37345123291016
1744810170,0,1,1,25.758115768432617,-80.37344360351562
1744810172,0,1,1,25.758115768432617,-80.37342834472656
1744810173,0,1,1,25.75811767578125,-80.37342834472656
