stamp_sec,stamp_nsec,current_id,relative_rad,feature_count
1744810326,847481293,385,0.0,0
1744810328,48584441,386,0.0,0
1744810328,949491761,387,0.0,0
1744810329,849314485,387,0.0,0
1744810331,950478437,387,0.0,0
1744810332,853863493,387,0.0,0
1744810334,52292693,388,0.0,0
1744810334,952787117,388,0.0,0
1744810335,855049669,389,0.0,0
1744810337,955184429,389,0.0,0
1744810338,254240113,389,0.0,0
1744810340,955118933,390,0.0,0
1744810341,856851985,390,0.0,0
1744810343,58677233,390,0.0,0
1744810343,958125209,391,0.0,0
1744810344,860644033,391,0.0,0
1744810346,58819613,391,0.0,0
1744810346,959767649,392,0.0,0
1744810349,60900845,392,0.0,0
1744810349,961633421,392,0.0,0
1744810350,864132301,392,0.0,0
1744810352,62395865,393,0.0,0
1744810352,963274193,393,0.0,0
1744810353,867084289,394,0.0,0
1744810355,63857585,394,0.0,0
1744810355,964838057,394,0.0,0
1744810358,65369177,395,0.0,0
1744810358,966357305,396,0.0,0
1744810359,867420277,395,0.0,0
1744810361,67356533,397,0.0,0
1744810361,968152901,398,0.0,0
1744810364,370570733,398,0.0,0
1744810364,969591761,398,0.0,0
1744810365,869921545,399,0.0,0
1744810367,70529153,399,0.0,0
1744810367,971594633,400,0.0,0
1744810368,874260097,400,0.0,0
1744810370,72239021,401,0.0,0
1744810371,875973649,401,0.0,0
1744810373,73868537,402,0.0,0
1744810373,975001829,403,0.0,0
1744810374,875551177,404,0.0,0
1744810376,78171209,405,0.0,0
1744810376,976689653,406,0.0,0
1744810378,183650253,407,0.0,0
1744810379,977949365,408,0.0,0
1744810380,878385025,409,0.0,0
1744810382,79129385,410,0.0,0
1744810382,979755497,411,0.0,0
1744810383,880226941,412,0.0,0
1744810385,80982653,413,0.0,0
1744810385,981855809,412,0.0,0
1744810388,82677977,414,0.0,0
1744810388,983472149,413,0.0,0
1744810389,883621033,195,0.0,0
1744810391,91274285,415,0.0,0
1744810391,984971189,416,0.0,0
1744810394,85676057,417,0.0,0
1744810394,987034409,418,0.0,0
1744810395,888281941,419,0.0,0
1744810397,87463097,420,0.0,0
1744810397,988650065,421,0.0,0
1744810398,889966885,422,0.0,0
1744810400,989889881,421,0.0,0
1744810401,889914049,423,0.0,0
1744810403,90669545,424,0.0,0
